"Name","DefFile","DefLine","Refs","RefsDollar","RefsAt","RefsAmp"
"UAUXT_MENU_ICONE_MALETA_TOP_MAX","resources\data\uauxt_menu_data.resource","50","1","1","0","0"
"UAUXT_MENU_ICONE_MALETA_TOP_MIN","resources\data\uauxt_menu_data.resource","49","1","1","0","0"
"UAUXT_MENU_ICONES_FINANCEIRO_CANDIDATOS","resources\data\uauxt_menu_data.resource","41","1","0","1","0"
"UAUXT_MENU_ITEM_EMISSAO_PAG_LOCATOR","resources\data\uauxt_menu_data.resource","68","1","1","0","0"
"UAUXT_MENU_ITEM_FINANCEIRO_LOCATOR","resources\data\uauxt_menu_data.resource","65","1","1","0","0"
"UAUXT_MENU_ITEM_GESTAO_FIN_LOCATOR","resources\data\uauxt_menu_data.resource","66","1","1","0","0"
"UAUXT_MENU_ITEM_GESTAO_VENDAS_LOCATOR","resources\data\uauxt_menu_data.resource","70","1","1","0","0"
"UAUXT_MENU_ITEM_RESUMO_VENDA_LOCATOR","resources\data\uauxt_menu_data.resource","71","1","1","0","0"
"UAUXT_MENU_ITEM_VENDAS_LOCATOR","resources\data\uauxt_menu_data.resource","69","1","1","0","0"
"UAUXT_MENU_VENDAS","resources\data\uauxt_menu_data.resource","10","1","1","0","0"
"UAUXT_SUBMENU_CONTAS_RECEBER","resources\data\uauxt_menu_data.resource","15","1","1","0","0"
"UAUXT_TELA_CONTAS_A_PAGAR","resources\data\uauxt_menu_data.resource","73","1","1","0","0"
"UAUXT_TIMEOUT_PADRAO","resources\data\uauxt_data.resource","26","1","1","0","0"
"UAUXT_TIMEOUT_POPUP","resources\data\uauxt_data.resource","27","1","1","0","0"
"VENDAS_GESTAO_VENDAS_LOCATOR","resources\data\vendas_data.resource","9","1","1","0","0"
"VENDAS_MENU_ITEM_LOCATOR","resources\data\vendas_data.resource","8","1","1","0","0"
"VENDAS_RESUMO_BTN_GRAVAR_LOCATOR","resources\data\vendas_data.resource","39","1","1","0","0"
"VENDAS_RESUMO_BTN_SAIR_LOCATOR","resources\data\vendas_data.resource","40","1","1","0","0"
"VENDAS_RESUMO_CHK_ANTECIPACAO_LOCATOR","resources\data\vendas_data.resource","53","1","1","0","0"
"VENDAS_RESUMO_CHK_POR_TITULAR_LOCATOR","resources\data\vendas_data.resource","52","1","1","0","0"
"VENDAS_RESUMO_FILTRO_AVALISTA_LOCATOR","resources\data\vendas_data.resource","48","1","1","0","0"
"VENDAS_RESUMO_FILTRO_NAO_TITULAR_LOCATOR","resources\data\vendas_data.resource","47","1","1","0","0"
"VENDAS_RESUMO_FILTRO_PROPRIETARIO_LOC","resources\data\vendas_data.resource","49","1","1","0","0"
"VENDAS_RESUMO_FILTRO_TITULAR_LOCATOR","resources\data\vendas_data.resource","46","1","1","0","0"
"VENDAS_RESUMO_TB_ALUGUEL_INDEX","resources\data\vendas_data.resource","27","1","1","0","0"
"VENDAS_RESUMO_TB_CUSTAS_INDEX","resources\data\vendas_data.resource","25","1","1","0","0"
